smiles,Cation,Anion,Melting point (K)
CCCCn1cc[n+](CCCC)c1.[Cl-],CCCCn1cc[n+](CCCC)c1,[Cl-],328.15
Cn1cc[n+](Cc2ccccc2)c1.[Br-],Cn1cc[n+](Cc2ccccc2)c1,[Br-],399.15
Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([O-])C(F)(F)F,Cn1cc[n+](Cc2ccccc2)c1,O=S(=O)([O-])C(F)(F)F,300.15
Cn1cc[n+](Cc2ccccc2)c1.F[P-](F)(F)(F)(F)F,Cn1cc[n+](Cc2ccccc2)c1,F[P-](F)(F)(F)(F)F,403.15
COc1ccc(-[n+]2ccn(C)c2)cc1.O=S(=O)([O-])C(F)(F)F,COc1ccc(-[n+]2ccn(C)c2)cc1,O=S(=O)([O-])C(F)(F)F,318.15
CCCCCCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,CCCCCCCC[n+]1ccn(C)c1,FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,348.15
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,CCCCCCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,233.15
Cn1cc[n+](CCc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Cn1cc[n+](CCc2ccccc2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,310.15
Cn1cc[n+](CCc2ccccc2)c1.F[P-](F)(F)(F)(F)F,Cn1cc[n+](CCc2ccccc2)c1,F[P-](F)(F)(F)(F)F,376.15
CCCCCCCOC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,CCCCCCCOC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,311.15
CCCCOC[n+]1ccn(COCCC)c1.F[P-](F)(F)(F)(F)F,CCCCOC[n+]1ccn(COCCC)c1,F[P-](F)(F)(F)(F)F,321.15
CCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,CCCCCCCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,287.15
CCCCCCCC[n+]1ccn(CC)c1.Cc1ccc(S(=O)(=O)[O-])cc1,CCCCCCCC[n+]1ccn(CC)c1,Cc1ccc(S(=O)(=O)[O-])cc1,343.15
Cn1cc[n+](CCCc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Cn1cc[n+](CCCc2ccccc2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,321.15
Cn1cc[n+](CCCc2ccccc2)c1.F[P-](F)(F)(F)(F)F,Cn1cc[n+](CCCc2ccccc2)c1,F[P-](F)(F)(F)(F)F,325.15
CCCCOCn1cc[n+](COCCCC)c1.F[P-](F)(F)(F)(F)F,CCCCOCn1cc[n+](COCCCC)c1,F[P-](F)(F)(F)(F)F,330.15
CCCCCCCC[n+]1ccn(CCC)c1.F[P-](F)(F)(F)(F)F,CCCCCCCC[n+]1ccn(CCC)c1,F[P-](F)(F)(F)(F)F,243.15
CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],CCCCCCCCCC[n+]1ccn(C)c1,[Cl-],311.15
CCCCCCCCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,CCCCCCCCCC[n+]1ccn(C)c1,FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,358.15
CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,271.15
CCCCCCCCCC[n+]1ccn(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,CCCCCCCCCC[n+]1ccn(C)c1,Cc1ccc(S(=O)(=O)[O-])cc1,352.15
CCCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,CCCCCCCCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,305.15
CCCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,CCCCCCCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F,294.15
CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],CCCCCCCCCCCC[n+]1ccn(C)c1,[Cl-],370.15
